,Bias,OutgroupAttitudes,NeedForCognition,ValuesThreat,Agreeableness,Openness,GeneralizedThreat,SymbolicThreat,ProtestantWorkEthic,Unpredictability,Loneliness,Religiosity,SDO.Dominance,SDO.Egalitarianism,SystemJustification,CID.SelfInvestment,CID.SelfDefinition,CON.Positive,CON.Negative,CON.Quantity,CON.NumberFriends,CON.Frequency,BeliefJustWorld,Entitativity,RWA.Conservative,RWA.Traditional,RWA.Authoritarian,RacialPosition.Foreign,RacialPosition.Inferior,% MentalHealthProviders,PremmatureDeathRate,RegionalExplicitBias,RegionalImplicitBias
Bias,1,0.67,-0.01,0.4,-0.03,-0.03,0.51,0.61,0.31,0.24,0.14,0.27,0.35,0.36,0.23,0.54,0.44,-0.53,0.53,-0.35,-0.3,-0.3,0.29,0.05,0.45,0.44,0.41,0.01,-0.09,-0.1,-0.06,0.02,-0.05
OutgroupAttitudes,0.67,1,-0.07,0.4,-0.24,-0.08,0.36,0.58,0.2,0.53,0.01,0.2,0.34,0.36,0.09,0.19,0.11,-0.72,0.61,-0.45,-0.36,-0.4,0.1,-0.25,0.33,0.37,0.33,-0.03,-0.21,0.02,0.18,0.03,0.01
NeedForCognition,-0.01,-0.07,1,0.07,0.09,0.36,0.06,-0.01,0.04,-0.21,-0.27,0.01,0.01,0.03,-0.01,-0.02,-0.05,0.12,-0.06,0.16,0.07,0.11,-0.04,-0.04,-0.06,-0.04,-0.03,-0.02,-0.08,0.06,0.04,0.12,0.05
ValuesThreat,0.4,0.4,0.07,1,-0.1,-0.04,0.32,0.59,0.32,0.28,0.01,0.27,0.4,0.43,0.21,0.26,0.19,-0.41,0.47,-0.27,-0.18,-0.19,0.23,-0.06,0.4,0.44,0.44,-0.03,-0.1,0,0.01,0.02,-0.02
Agreeableness,-0.03,-0.24,0.09,-0.1,1,0,0.03,-0.14,0.06,-0.46,0.15,0.08,-0.12,-0.12,0.28,0.15,0.2,0.23,-0.25,0.06,0.02,0.04,0.26,0.08,0.05,0.02,0.01,-0.08,0,0.03,0.13,0.02,0.09
Openness,-0.03,-0.08,0.36,-0.04,0,1,-0.01,-0.11,-0.13,0.03,-0.32,0.02,-0.13,-0.14,-0.12,0.01,-0.03,0.14,-0.11,0.22,0.18,0.17,-0.12,0.08,-0.1,-0.08,-0.1,0.04,0.1,-0.03,-0.07,0.03,-0.03
GeneralizedThreat,0.51,0.36,0.06,0.32,0.03,-0.01,1,0.49,0.22,0.35,0.31,0.15,0.23,0.23,0.14,0.29,0.22,-0.33,0.35,-0.23,-0.21,-0.2,0.17,-0.03,0.29,0.31,0.31,0.08,0.03,0.02,0.03,0.1,-0.02
SymbolicThreat,0.61,0.58,-0.01,0.59,-0.14,-0.11,0.49,1,0.46,0.44,0.15,0.42,0.54,0.56,0.23,0.42,0.35,-0.66,0.73,-0.34,-0.21,-0.26,0.28,-0.06,0.58,0.63,0.56,0.12,-0.1,-0.11,-0.01,-0.01,-0.1
ProtestantWorkEthic,0.31,0.2,0.04,0.32,0.06,-0.13,0.22,0.46,1,0.19,-0.01,0.31,0.52,0.52,0.69,0.4,0.38,-0.25,0.29,-0.3,-0.25,-0.23,0.69,0.11,0.6,0.51,0.54,-0.02,-0.12,-0.1,0.01,0.01,-0.07
Unpredictability,0.24,0.53,-0.21,0.28,-0.46,0.03,0.35,0.44,0.19,1,-0.15,-0.15,0.01,0.06,0.12,-0.08,-0.16,-0.19,-0.59,0.49,-0.35,-0.23,-0.31,-0.01,-0.02,0.19,0.22,0.15,0.02,-0.07,-0.08,0.06,-0.01
Loneliness,0.14,0.01,-0.27,0.01,0.15,-0.32,0.31,0.15,-0.01,-0.15,1,-0.11,0.03,0,0.18,0.4,0.31,0.06,-0.14,0.07,0.06,0.04,0.1,0.1,-0.11,-0.1,-0.22,-0.06,-0.14,-0.01,-0.14,0.02,-0.04
Religiosity,0.27,0.2,0.01,0.27,0.08,0.02,0.15,0.42,0.31,0.01,-0.11,1,0.23,0.25,0.28,0.34,0.29,-0.22,0.25,-0.2,-0.12,-0.18,0.32,0.11,0.67,0.72,0.46,0.04,0.04,-0.16,0.03,0.05,-0.06
SDO.Dominance,0.35,0.34,0.01,0.4,-0.12,-0.13,0.23,0.54,0.52,0.06,0.03,0.23,1,0.96,0.44,0.26,0.21,-0.43,0.44,-0.26,-0.17,-0.21,0.38,-0.11,0.5,0.46,0.49,-0.03,-0.16,-0.03,0,0.07,-0.04
SDO.Egalitarianism,0.36,0.36,0.03,0.43,-0.12,-0.14,0.23,0.56,0.52,0.12,0,0.25,0.96,1,0.45,0.22,0.17,-0.44,0.45,-0.27,-0.19,-0.22,0.39,-0.15,0.51,0.48,0.51,-0.02,-0.16,-0.09,0.03,0.13,0.02
SystemJustification,0.23,0.09,-0.01,0.21,0.28,-0.12,0.14,0.23,0.69,-0.08,0.18,0.28,0.44,0.45,1,0.35,0.35,-0.12,0.15,-0.23,-0.21,-0.17,0.86,0.06,0.49,0.4,0.46,-0.08,-0.09,-0.05,-0.02,0.03,-0.07
CID.SelfInvestment,0.54,0.19,-0.02,0.26,0.15,0.01,0.29,0.42,0.4,-0.16,0.4,0.34,0.26,0.22,0.35,1,0.92,-0.18,0.24,-0.19,-0.13,-0.13,0.41,0.43,0.45,0.39,0.34,0.04,0.04,-0.06,-0.01,0.01,-0.09
CID.SelfDefinition,0.44,0.11,-0.05,0.19,0.2,-0.03,0.22,0.35,0.38,-0.19,0.31,0.29,0.21,0.17,0.35,0.92,1,-0.1,0.16,-0.17,-0.13,-0.11,0.42,0.46,0.42,0.36,0.3,-0.01,0,-0.14,-0.04,0.06,-0.02
CON.Positive,-0.53,-0.72,0.12,-0.41,0.23,0.14,-0.33,-0.66,-0.25,-0.59,0.06,-0.22,-0.43,-0.44,-0.12,-0.18,-0.1,1,-0.86,0.46,0.3,0.41,-0.15,0.28,-0.38,-0.4,-0.39,-0.04,0.18,0.02,0.09,-0.04,0.06
CON.Negative,0.53,0.61,-0.06,0.47,-0.25,-0.11,0.35,0.73,0.29,0.49,-0.14,0.25,0.44,0.45,0.15,0.24,0.16,-0.86,1,-0.36,-0.17,-0.25,0.18,-0.15,0.36,0.39,0.35,0.11,-0.11,0.03,-0.04,0.01,-0.05
CON.Quantity,-0.35,-0.45,0.16,-0.27,0.06,0.22,-0.23,-0.34,-0.3,-0.35,0.07,-0.2,-0.26,-0.27,-0.23,-0.19,-0.17,0.46,-0.36,1,0.81,0.85,-0.22,0.07,-0.42,-0.4,-0.42,0.28,0.19,0.09,0.12,0.08,0.1
CON.NumberFriends,-0.3,-0.36,0.07,-0.18,0.02,0.18,-0.21,-0.21,-0.25,-0.23,0.06,-0.12,-0.17,-0.19,-0.21,-0.13,-0.13,0.3,-0.17,0.81,1,0.72,-0.18,0.06,-0.32,-0.31,-0.33,0.29,0.18,0.02,0.18,0,0.06
CON.Frequency,-0.3,-0.4,0.11,-0.19,0.04,0.17,-0.2,-0.26,-0.23,-0.31,0.04,-0.18,-0.21,-0.22,-0.17,-0.13,-0.11,0.41,-0.25,0.85,0.72,1,-0.15,0.11,-0.35,-0.35,-0.37,0.2,0.17,-0.03,0.1,0.06,-0.01
BeliefJustWorld,0.29,0.1,-0.04,0.23,0.26,-0.12,0.17,0.28,0.69,-0.01,0.1,0.32,0.38,0.39,0.86,0.41,0.42,-0.15,0.18,-0.22,-0.18,-0.15,1,0.1,0.52,0.43,0.46,-0.05,-0.09,0.01,-0.03,0.11,-0.03
Entitativity,0.05,-0.25,-0.04,-0.06,0.08,0.08,-0.03,-0.06,0.11,-0.02,0.1,0.11,-0.11,-0.15,0.06,0.43,0.46,0.28,-0.15,0.07,0.06,0.11,0.1,1,0.04,0,-0.02,-0.04,0.11,-0.07,-0.03,-0.03,0.04
RWA.Conservative,0.45,0.33,-0.06,0.4,0.05,-0.1,0.29,0.58,0.6,0.19,-0.11,0.67,0.5,0.51,0.49,0.45,0.42,-0.38,0.36,-0.42,-0.32,-0.35,0.52,0.04,1,0.92,0.83,-0.1,-0.11,-0.05,0.08,0.05,-0.05
RWA.Traditional,0.44,0.37,-0.04,0.44,0.02,-0.08,0.31,0.63,0.51,0.22,-0.1,0.72,0.46,0.48,0.4,0.39,0.36,-0.4,0.39,-0.4,-0.31,-0.35,0.43,0,0.92,1,0.86,-0.08,-0.09,-0.08,0.03,0,-0.04
RWA.Authoritarian,0.41,0.33,-0.03,0.44,0.01,-0.1,0.31,0.56,0.54,0.15,-0.22,0.46,0.49,0.51,0.46,0.34,0.3,-0.39,0.35,-0.42,-0.33,-0.37,0.46,-0.02,0.83,0.86,1,-0.09,-0.09,-0.15,0.02,0.01,-0.1
RacialPosition.Foreign,0.01,-0.03,-0.02,-0.03,-0.08,0.04,0.08,0.12,-0.02,0.02,-0.06,0.04,-0.03,-0.02,-0.08,0.04,-0.01,-0.04,0.11,0.28,0.29,0.2,-0.05,-0.04,-0.1,-0.08,-0.09,1,0.33,0.07,0.03,0.18,0.03
RacialPosition.Inferior,-0.09,-0.21,-0.08,-0.1,0,0.1,0.03,-0.1,-0.12,-0.15,-0.14,0.04,-0.16,-0.16,-0.09,0.04,0,0.18,-0.11,0.19,0.18,0.17,-0.09,0.11,-0.11,-0.09,-0.09,0.33,1,0.02,-0.05,0.07,-0.04
% MentalHealthProviders,-0.1,0.02,0.06,0,0.03,-0.03,0.02,-0.11,-0.1,-0.07,-0.01,-0.16,-0.03,-0.09,-0.05,-0.06,-0.14,0.02,0.03,0.09,0.02,-0.03,0.01,-0.07,-0.05,-0.08,-0.15,0.07,0.02,1,-0.56,-0.64,-0.56
PremmatureDeathRate,-0.06,0.18,0.04,0.01,0.13,-0.07,0.03,-0.01,0.01,-0.08,-0.14,0.03,0,0.03,-0.02,-0.01,-0.04,0.09,-0.04,0.12,0.18,0.1,-0.03,-0.03,0.08,0.03,0.02,0.03,-0.05,-0.56,1,0.45,0.27
RegionalExplicitBias,0.02,0.03,0.12,0.02,0.02,0.03,0.1,-0.01,0.01,0.06,0.02,0.05,0.07,0.13,0.03,0.01,0.06,-0.04,0.01,0.08,0,0.06,0.11,-0.03,0.05,0,0.01,0.18,0.07,-0.64,0.45,1,0.69
RegionalImplicitBias,-0.05,0.01,0.05,-0.02,0.09,-0.03,-0.02,-0.1,-0.07,-0.01,-0.04,-0.06,-0.04,0.02,-0.07,-0.09,-0.02,0.06,-0.05,0.1,0.06,-0.01,-0.03,0.04,-0.05,-0.04,-0.1,0.03,-0.04,-0.56,0.27,0.69,1
